country_name,country_code,year,stunting_pct,gdp_per_capita,undernourishment_pct,water_access_pct,female_edu_pct,political_stability
Zambia,ZMB,2000,52.1,804.48463418783,,,,0.0286969
Zimbabwe,ZWE,2000,33.1,1677.34896793251,,29.3952599069304,36.0074195861816,-1.3514121
Aruba,ABW,2001,,29007.7386958774,,,97.3598327636719,
Africa Eastern and Southern,AFE,2001,45.5706329193374,1216.33535706379,32.5645942453309,18.9256602922321,26.3633804321289,
Afghanistan,AFG,2001,55.2,277.118051443941,45.8,11.4952007602954,,
Africa Western and Central,AFW,2001,39.117069600673,1215.84949075792,15.7854733453816,16.9237461831991,20.19407081604,
Angola,AGO,2001,44.9,2189.17352158246,67.8,,13.2332096099853,
Albania,ALB,2001,29.9,2188.91854451375,4.8,49.0811986702513,,
Andorra,AND,2001,,36790.1209900717,,90.6399983565544,,
Arab World,ARB,2001,28.6076337044198,4892.98855329169,9.87765510822003,,57.5917701721191,
United Arab Emirates,ARE,2001,,54169.4153530236,2.5,98.1945078372932,,
Argentina,ARG,2001,9.0,10051.9448463043,3.0,,101.411613464355,
Armenia,ARM,2001,18.1,1351.12072694555,28.6,82.7264208490425,,
American Samoa,ASM,2001,,,,82.5878247232387,,
Antigua and Barbuda,ATG,2001,,15003.4389169034,,,,
Australia,AUS,2001,1.0,46314.6235297968,2.5,,,
Austria,AUT,2001,,38929.753800545,2.5,97.0252416937295,96.7734069824219,
Azerbaijan,AZE,2001,24.8,1640.93664540398,17.8,49.1779754517385,,
Burundi,BDI,2001,62.5,262.913885774384,,,,
Belgium,BEL,2001,4.0,36148.2880924306,2.5,99.753935429098,164.421981811523,
Benin,BEN,2001,34.9,879.854463773645,14.3,14.3127656218043,13.908769607544,
Burkina Faso,BFA,2001,40.6,442.914122870048,22.4,,7.95838022232056,
Bangladesh,BGD,2001,53.6,641.288922876274,15.5,55.3150210020989,50.0232887268066,
Bulgaria,BGR,2001,8.7,3937.70160937785,4.9,90.1266638649239,79.96337890625,
Bahrain,BHR,2001,10.3,25106.2869742612,,98.7294070097384,101.788238525391,
"Bahamas, The",BHS,2001,,32870.0918307285,,,,
Bosnia and Herzegovina,BIH,2001,11.8,2617.18230350812,3.6,87.5600102320569,,
Belarus,BLR,2001,5.2,2753.0336970697,2.7,82.0700672096364,,
Belize,BLZ,2001,23.9,5764.99055491104,5.7,,71.5002288818359,
Bermuda,BMU,2001,,116809.925253071,,,90.8878479003906,
Bolivia,BOL,2001,32.5,2013.84581083123,26.6,,73.2119827270508,
Brazil,BRA,2001,9.2,6823.0331851176,10.5,76.3258234013679,,
Barbados,BRB,2001,8.2,20985.2828573064,6.8,,107.765472412109,
